Timestamp,ID number,Dollar value to question #1,Gender,Education,Years of working experience,Dollar value to question #2
2/16/2018 16:46:36,123,12,Female,17,5,NA
2/16/2018 16:47:40,2345,123,Female,12,5,NA
2/16/2018 16:49:56,3456,356,Male,Masters,4,NA
2/16/2018 20:29:48,25216,256,Male,College,2,NA
2/16/2018 20:39:55,32158,321,Male,Masters,25,NA
2/16/2018 20:41:48,7338,754,Male,Doctorate,10,NA
2/16/2018 21:31:40,1235,233,Female,Masters,4,23
2/20/2018 18:27:41,15,100,Male,Doctorate,8,1
2/20/2018 21:59:06,102,200,Male,Masters,Between 2 and 5,0
2/21/2018 14:16:11,15,5,Female,Masters,Between 2 and 5,5
